AMPS,VOLTS,TEMP,DELTA,GAMMA,OUTPUT,MODE_REDACTED,MODE_auto,MODE_beam,MODE_burst,POWER_high,POWER_low
0.644,2.711,74.886,0.707,-0.39,2.754,1.0,0.0,0.0,0.0,0.0,1.0
0.771,5.891,-39.97999999999999,-0.696,0.664,2.712,0.0,1.0,0.0,0.0,0.0,1.0
0.769,4.789,31.719,0.058,0.426,1.758,0.0,0.0,1.0,0.0,0.0,1.0
0.092,1.903,20.404,-0.432,0.589,-5.977,0.0,1.0,0.0,0.0,1.0,0.0
0.322,4.208,56.398000000000025,-0.847,1.156,1.224,1.0,0.0,0.0,0.0,0.0,1.0
0.286,1.586,-5.929,-0.541,-0.347,1.08,0.0,0.0,0.0,1.0,1.0,0.0
0.75,7.39,-26.129,-0.322,-0.203,-0.143,0.0,0.0,0.0,1.0,0.0,1.0
0.457,2.011,69.853,-0.203,-0.314,-0.252,0.0,0.0,0.0,1.0,0.0,1.0
0.185,2.537,44.948,0.006,1.15,0.966,1.0,0.0,0.0,0.0,0.0,1.0
0.665,0.072,-9.404,0.581,0.331,0.19,1.0,0.0,0.0,0.0,0.0,1.0
0.983,2.187,-7.121999999999957,-0.527,1.285,1.847,1.0,0.0,0.0,0.0,1.0,0.0
0.126,0.995,-81.561,0.958,0.206,-1.269,0.0,0.0,1.0,0.0,0.0,1.0
0.124,2.106,-39.014,-0.876,0.063,0.322,1.0,0.0,0.0,0.0,0.0,1.0
0.225,2.451,-51.3,-0.526,0.073,-0.11,0.0,0.0,0.0,1.0,1.0,0.0
0.58,0.263,-43.608,-0.353,0.79,3.334,1.0,0.0,0.0,0.0,1.0,0.0
0.82,1.042,-23.981,0.004,-0.295,2.277,0.0,1.0,0.0,0.0,0.0,1.0
0.133,2.835,33.47,-0.677,-0.132,3.317,1.0,0.0,0.0,0.0,1.0,0.0
0.461,2.848,20.53,-0.619,-0.042,1.84,0.0,0.0,0.0,1.0,1.0,0.0
0.596,0.882,-100.0,0.861,1.049,0.241,0.0,0.0,0.0,1.0,0.0,1.0
0.041,1.652,-24.041999999999973,-0.161,-0.91,-0.193,0.0,0.0,0.0,1.0,0.0,1.0
0.884,1.09,-51.77999999999997,0.283,0.023,0.499,0.0,0.0,0.0,1.0,0.0,1.0
0.097,3.244,41.306,-0.843,-0.414,1.586,0.0,0.0,0.0,1.0,1.0,0.0
0.165,2.12,-51.787,-0.237,-0.613,2.288,0.0,1.0,0.0,0.0,0.0,1.0
0.039,1.901,-22.667,0.809,-0.1,0.237,1.0,0.0,0.0,0.0,0.0,1.0
0.544,0.678,-15.0,-0.571,1.179,0.277,1.0,0.0,0.0,0.0,0.0,1.0
0.318,3.955,37.752,-0.751,0.492,1.821,0.0,0.0,0.0,1.0,1.0,0.0
0.099,1.327,-7.367999999999995,0.113,-0.497,0.544,1.0,0.0,0.0,0.0,0.0,1.0
0.255,3.933,14.754000000000019,-0.926,0.646,0.469,0.0,0.0,1.0,0.0,0.0,1.0
0.488,0.504,33.997,-0.189,0.3,1.85,0.0,1.0,0.0,0.0,0.0,1.0
0.127,1.023,20.89300000000003,-0.867,-0.632,2.846,1.0,0.0,0.0,0.0,1.0,0.0
0.19,3.982,-47.69,-0.114,0.231,-0.018,1.0,0.0,0.0,0.0,0.0,1.0
0.407,2.419,35.034,-0.338,-0.573,1.138,0.0,0.0,1.0,0.0,0.0,1.0
0.702,0.502,16.18100000000004,0.822,-0.962,2.15,1.0,0.0,0.0,0.0,1.0,0.0
0.876,2.048,52.672,0.179,-0.693,3.848,0.0,0.0,1.0,0.0,0.0,1.0
0.755,1.159,45.036,-0.409,0.541,3.259,0.0,0.0,1.0,0.0,0.0,1.0
0.227,3.673,-49.972,0.262,0.193,-5.427,0.0,1.0,0.0,0.0,1.0,0.0
0.821,1.124,59.68100000000004,0.648,0.882,3.807,1.0,0.0,0.0,0.0,1.0,0.0
0.721,2.034,7.205,-0.93,-0.589,0.855,1.0,0.0,0.0,0.0,0.0,1.0
0.696,1.768,-9.18,0.694,-0.736,0.756,0.0,0.0,0.0,1.0,1.0,0.0
0.875,1.482,-25.45,0.166,1.225,-0.745,1.0,0.0,0.0,0.0,0.0,1.0
0.017,3.897,-21.461,-0.941,0.397,0.045,0.0,0.0,0.0,1.0,0.0,1.0
0.412,1.129,68.303,-0.573,1.916,2.268,0.0,1.0,0.0,0.0,0.0,1.0
0.424,2.4,-14.022,0.232,-1.261,-0.506,0.0,0.0,1.0,0.0,1.0,0.0
0.288,2.474,-44.344,-0.73,-0.23,-0.363,0.0,0.0,1.0,0.0,1.0,0.0
0.714,0.948,-5.7169999999999845,0.563,1.311,-0.106,1.0,0.0,0.0,0.0,0.0,1.0
0.998,3.067,-41.597999999999985,-0.679,-0.137,-0.283,0.0,0.0,0.0,1.0,0.0,1.0
0.638,1.056,-25.345,-0.625,1.657,-0.405,0.0,0.0,0.0,1.0,1.0,0.0
0.543,1.531,4.863,0.27,0.106,1.353,0.0,0.0,0.0,1.0,1.0,0.0
0.989,0.51,58.208,-0.916,0.297,0.255,0.0,0.0,0.0,1.0,0.0,1.0
0.383,0.916,12.003000000000043,-0.381,1.014,0.104,0.0,0.0,1.0,0.0,1.0,0.0
0.017,1.257,-42.815,-0.21,1.018,-0.122,0.0,0.0,1.0,0.0,0.0,1.0
0.999,1.416,-95.68699999999998,-0.206,0.113,-4.03,1.0,0.0,0.0,0.0,0.0,1.0
0.188,2.591,43.276,0.832,-0.242,-5.821,0.0,1.0,0.0,0.0,1.0,0.0
0.187,2.153,-4.211,-0.137,-0.993,-5.02,0.0,1.0,0.0,0.0,1.0,0.0
0.116,1.784,20.805000000000007,0.528,-0.016,0.207,1.0,0.0,0.0,0.0,0.0,1.0
0.015,2.689,-24.07,0.267,1.313,0.083,1.0,0.0,0.0,0.0,0.0,1.0
0.269,6.513,15.556,-0.197,-0.171,2.696,1.0,0.0,0.0,0.0,1.0,0.0
0.299,2.223,-100.0,0.727,-0.101,-0.298,0.0,0.0,0.0,1.0,0.0,1.0
0.34,1.577,12.231,0.375,0.759,2.225,1.0,0.0,0.0,0.0,1.0,0.0
0.193,1.282,-44.34499999999997,-0.564,0.519,0.151,1.0,0.0,0.0,0.0,0.0,1.0
0.577,1.271,34.933,0.334,-0.034,1.325,1.0,0.0,0.0,0.0,0.0,1.0
0.616,1.345,-10.292,-0.009,1.583,0.32,0.0,0.0,0.0,1.0,0.0,1.0
0.033,1.483,-29.468999999999966,0.09,-0.081,2.068,0.0,1.0,0.0,0.0,0.0,1.0
0.614,5.807,-23.09499999999997,-0.77,0.082,-0.028,0.0,0.0,0.0,1.0,1.0,0.0
0.294,2.473,-36.96999999999997,-0.65,-0.725,-0.059,1.0,0.0,0.0,0.0,0.0,1.0
0.801,4.678,-57.199,-0.515,-0.068,2.568,0.0,1.0,0.0,0.0,0.0,1.0
0.477,0.973,10.29,0.001,-1.087,1.918,0.0,1.0,0.0,0.0,0.0,1.0
0.922,1.421,-14.17,-0.359,0.428,0.079,0.0,0.0,0.0,1.0,0.0,1.0
0.308,0.726,-13.948999999999955,0.879,0.563,-0.189,0.0,0.0,1.0,0.0,0.0,1.0
0.503,1.795,-29.219,0.597,0.552,3.142,1.0,0.0,0.0,0.0,1.0,0.0
0.118,1.14,-61.089,-0.173,0.543,0.267,1.0,0.0,0.0,0.0,0.0,1.0
0.572,1.659,-63.317,-0.991,-0.133,0.122,0.0,0.0,0.0,1.0,0.0,1.0
0.714,1.029,74.975,0.472,0.474,3.682,1.0,0.0,0.0,0.0,1.0,0.0
0.08,5.049,8.719,0.523,0.98,0.294,0.0,0.0,0.0,1.0,0.0,1.0
0.123,1.843,-26.247,0.057,-0.187,-5.033,0.0,1.0,0.0,0.0,1.0,0.0
0.74,0.834,-9.335,0.336,-1.239,-0.551,0.0,0.0,1.0,0.0,0.0,1.0
0.518,2.837,-35.979,-0.76,0.906,0.037,0.0,0.0,0.0,1.0,0.0,1.0
0.728,1.88,-16.778999999999996,0.698,0.523,-0.01,0.0,0.0,1.0,0.0,1.0,0.0
0.263,0.531,-100.0,0.784,0.098,-1.83,0.0,0.0,0.0,1.0,1.0,0.0
0.803,1.83,25.241000000000042,-0.356,0.408,-5.025,0.0,1.0,0.0,0.0,1.0,0.0
0.142,1.469,-36.765,0.076,-0.502,0.099,1.0,0.0,0.0,0.0,0.0,1.0
0.689,1.498,-16.173000000000002,0.325,-0.994,2.182,0.0,1.0,0.0,0.0,0.0,1.0
0.54,1.815,36.68,0.324,-0.28,-4.891,0.0,1.0,0.0,0.0,1.0,0.0
0.171,1.225,-44.40899999999996,-0.105,1.433,-0.498,0.0,0.0,1.0,0.0,0.0,1.0
0.967,2.826,67.118,0.604,-1.034,3.795,1.0,0.0,0.0,0.0,0.0,1.0
0.72,4.826,13.732000000000028,-0.046,0.117,0.71,0.0,0.0,1.0,0.0,0.0,1.0
0.974,2.059,86.72900000000004,0.748,0.751,3.783,1.0,0.0,0.0,0.0,1.0,0.0
0.384,0.703,-46.62899999999999,-0.301,1.383,-0.625,1.0,0.0,0.0,0.0,0.0,1.0
0.138,2.535,-16.689999999999998,-0.92,0.315,-0.168,0.0,0.0,1.0,0.0,1.0,0.0
0.083,2.203,81.464,-0.735,-1.597,-6.103,0.0,1.0,0.0,0.0,1.0,0.0
0.517,0.987,6.427000000000021,0.715,-0.41,2.117,0.0,1.0,0.0,0.0,0.0,1.0
0.962,0.688,-56.928,-0.35,-0.191,-0.654,0.0,0.0,1.0,0.0,1.0,0.0
0.178,1.242,37.69300000000004,0.957,0.378,0.011,0.0,0.0,1.0,0.0,1.0,0.0
0.808,1.539,-82.63999999999999,0.004,0.755,-4.345,0.0,1.0,0.0,0.0,1.0,0.0
0.013,1.031,-24.661,0.869,-0.073,0.335,1.0,0.0,0.0,0.0,0.0,1.0
0.091,1.289,-100.0,-0.603,0.7,4.396,1.0,0.0,0.0,0.0,1.0,0.0
0.081,0.929,-11.171,0.81,0.992,1.848,1.0,0.0,0.0,0.0,1.0,0.0
0.662,0.516,-21.188999999999965,-0.972,-0.487,-0.222,1.0,0.0,0.0,0.0,0.0,1.0
0.764,0.984,4.036,-0.262,0.426,2.002,0.0,1.0,0.0,0.0,0.0,1.0
0.6,4.302,22.393,0.841,-1.36,-5.827,0.0,1.0,0.0,0.0,1.0,0.0
0.278,1.186,-28.762999999999977,-0.147,0.755,0.186,0.0,0.0,0.0,1.0,0.0,1.0
0.863,1.588,-18.208,-0.363,-0.12,-0.222,0.0,0.0,1.0,0.0,1.0,0.0
0.101,3.571,25.333,0.165,-0.736,2.884,1.0,0.0,0.0,0.0,1.0,0.0
0.202,1.258,50.607,-0.166,0.348,1.971,0.0,0.0,0.0,1.0,1.0,0.0
0.548,1.036,12.992,0.039,0.589,1.07,0.0,0.0,1.0,0.0,0.0,1.0
0.289,2.676,-54.645,0.759,0.809,0.005,0.0,0.0,0.0,1.0,0.0,1.0
0.189,0.394,-32.58299999999997,-0.83,0.167,-0.116,0.0,0.0,1.0,0.0,1.0,0.0
0.609,0.916,-24.355,-0.772,-0.47,-0.265,1.0,0.0,0.0,0.0,0.0,1.0
0.505,3.125,-100.0,0.914,0.907,4.236,1.0,0.0,0.0,0.0,1.0,0.0
0.961,2.904,-36.996999999999986,0.039,0.335,3.194,1.0,0.0,0.0,0.0,1.0,0.0
0.145,0.497,-100.0,-0.602,0.552,-0.01,0.0,0.0,1.0,0.0,1.0,0.0
0.724,0.275,-63.075,0.07,-0.575,-3.83,0.0,1.0,0.0,0.0,1.0,0.0
0.125,0.443,53.852,0.034,0.356,2.014,0.0,1.0,0.0,0.0,0.0,1.0
0.044,1.149,85.703,-0.741,-0.05,0.212,0.0,0.0,0.0,1.0,0.0,1.0
0.263,1.7,-86.587,0.055,-0.202,3.784,1.0,0.0,0.0,0.0,1.0,0.0
0.537,1.117,38.88,-0.618,0.695,0.238,0.0,0.0,1.0,0.0,1.0,0.0
0.308,0.425,48.80200000000002,0.547,0.254,1.557,0.0,0.0,1.0,0.0,0.0,1.0
0.662,1.07,33.198,0.39,-0.206,2.448,0.0,0.0,1.0,0.0,0.0,1.0
0.248,0.299,47.116,0.673,-0.69,1.364,1.0,0.0,0.0,0.0,0.0,1.0
0.961,2.496,25.248000000000047,-0.674,0.415,1.743,0.0,0.0,1.0,0.0,0.0,1.0
0.36,8.12,28.847,0.732,-0.391,1.835,0.0,0.0,0.0,1.0,1.0,0.0
0.318,2.053,-100.0,-0.621,0.341,-1.409,1.0,0.0,0.0,0.0,0.0,1.0
0.591,2.114,2.3070000000000164,0.08,0.521,1.049,0.0,0.0,0.0,1.0,1.0,0.0
0.094,5.138,-43.97799999999998,-0.881,0.732,0.26,0.0,0.0,0.0,1.0,1.0,0.0
0.788,2.19,67.20400000000001,-0.586,-1.692,4.531,0.0,0.0,1.0,0.0,0.0,1.0
0.722,0.22,-47.91899999999998,0.352,-0.161,0.073,0.0,0.0,0.0,1.0,0.0,1.0
0.218,0.119,7.025,0.075,-0.27,0.483,0.0,0.0,0.0,1.0,0.0,1.0
0.893,1.4,-34.854,-0.237,-0.881,-2.795,0.0,0.0,1.0,0.0,0.0,1.0
0.919,1.887,-0.29599999999999227,0.052,-0.863,-0.029,0.0,0.0,0.0,1.0,0.0,1.0
0.558,1.629,-59.755,0.648,-0.385,-1.116,1.0,0.0,0.0,0.0,0.0,1.0
0.144,0.963,-48.708,-0.74,-0.421,0.771,0.0,0.0,0.0,1.0,1.0,0.0
0.811,0.374,28.35300000000001,0.749,0.071,1.256,1.0,0.0,0.0,0.0,0.0,1.0
0.732,0.945,-50.91399999999999,-0.504,-1.563,-2.338,0.0,0.0,0.0,1.0,1.0,0.0
0.359,2.658,-72.423,-0.449,-0.931,-1.928,0.0,0.0,1.0,0.0,0.0,1.0
0.947,1.256,-18.877,0.548,0.569,0.114,0.0,0.0,0.0,1.0,0.0,1.0
0.378,0.69,-100.0,0.109,0.312,1.94,0.0,1.0,0.0,0.0,0.0,1.0
0.644,2.683,21.656,0.428,0.569,1.066,1.0,0.0,0.0,0.0,0.0,1.0
0.275,1.555,-26.355,-0.776,1.974,-5.729,0.0,1.0,0.0,0.0,1.0,0.0
0.388,1.831,33.1,-0.198,0.637,-4.764,0.0,1.0,0.0,0.0,1.0,0.0
0.868,1.482,66.285,0.233,-0.127,-4.781,0.0,1.0,0.0,0.0,1.0,0.0
0.904,2.172,83.194,-0.539,-0.624,8.42,0.0,0.0,0.0,1.0,1.0,0.0
0.947,4.278,0.136,0.185,0.191,0.117,1.0,0.0,0.0,0.0,0.0,1.0
0.805,2.612,-80.984,0.091,-0.912,-4.936,0.0,0.0,0.0,1.0,1.0,0.0
0.841,1.476,29.293,0.254,0.462,0.127,0.0,0.0,0.0,1.0,0.0,1.0
0.818,3.306,3.664000000000044,0.033,-0.193,-4.26,0.0,1.0,0.0,0.0,1.0,0.0
0.074,4.661,-78.19499999999996,-0.456,0.017,-0.515,0.0,0.0,1.0,0.0,0.0,1.0
0.105,0.538,16.319,-0.306,-0.123,-0.084,0.0,0.0,0.0,1.0,0.0,1.0
0.705,1.107,-88.737,-0.475,-0.833,3.523,1.0,0.0,0.0,0.0,1.0,0.0
0.851,3.491,-20.69,0.303,-0.381,-1.501,0.0,0.0,1.0,0.0,0.0,1.0
0.217,2.903,-80.36599999999999,0.901,1.584,4.154,1.0,0.0,0.0,0.0,1.0,0.0
0.061,0.241,-51.851,0.344,1.947,-0.351,0.0,0.0,1.0,0.0,1.0,0.0
0.421,2.404,-99.463,-0.565,0.525,-0.349,0.0,0.0,0.0,1.0,0.0,1.0
0.231,1.24,-73.087,0.231,-0.821,-5.373,0.0,1.0,0.0,0.0,1.0,0.0
0.246,2.091,-1.945,0.459,0.734,0.056,0.0,0.0,1.0,0.0,1.0,0.0
0.895,3.384,-7.865,0.33,1.149,-0.217,0.0,0.0,1.0,0.0,1.0,0.0
0.963,1.988,5.241,-0.872,0.411,0.29,0.0,0.0,1.0,0.0,0.0,1.0
0.292,0.843,39.694,-0.934,0.765,-5.817,0.0,1.0,0.0,0.0,1.0,0.0
0.87,2.443,66.819,-0.81,-1.3,4.091,1.0,0.0,0.0,0.0,1.0,0.0
0.74,2.34,-46.368,-0.165,0.476,-1.806,0.0,0.0,0.0,1.0,1.0,0.0
0.817,3.669,30.958,0.376,-0.906,-0.369,0.0,0.0,0.0,1.0,0.0,1.0
0.684,1.999,-2.744,-0.002,1.152,-0.231,0.0,0.0,1.0,0.0,0.0,1.0
0.182,5.13,-92.87399999999997,0.166,1.508,-0.585,1.0,0.0,0.0,0.0,0.0,1.0
0.072,3.754,53.518,0.844,0.389,-5.883,0.0,1.0,0.0,0.0,1.0,0.0
0.159,1.547,24.845,0.448,1.506,2.004,0.0,1.0,0.0,0.0,0.0,1.0
0.913,1.907,3.539,0.041,0.64,2.131,0.0,1.0,0.0,0.0,0.0,1.0
0.315,1.537,71.13,-0.229,-0.401,1.051,1.0,0.0,0.0,0.0,0.0,1.0
0.672,0.739,-38.315999999999974,0.202,-0.023,-4.704,0.0,1.0,0.0,0.0,1.0,0.0
0.958,3.133,-49.21,-0.05,-0.17,-2.904,0.0,0.0,0.0,1.0,1.0,0.0
0.221,1.223,-31.32499999999999,-0.784,-1.122,-0.51,0.0,0.0,1.0,0.0,0.0,1.0
0.843,3.707,-81.5,0.864,0.17,-4.894,0.0,0.0,1.0,0.0,0.0,1.0
0.043,0.698,-66.49499999999998,0.728,0.51,-0.062,0.0,0.0,0.0,1.0,0.0,1.0
0.116,3.685,3.19500000000005,-0.818,0.376,0.071,0.0,0.0,1.0,0.0,0.0,1.0
0.38,1.742,19.091,-0.323,-0.157,0.246,0.0,0.0,0.0,1.0,0.0,1.0
0.33,1.775,-6.429,0.318,-0.416,2.085,0.0,1.0,0.0,0.0,0.0,1.0
0.617,0.86,25.628,0.931,-1.554,0.411,0.0,0.0,0.0,1.0,0.0,1.0
0.616,1.5,-71.34699999999998,-0.725,0.46,-1.671,1.0,0.0,0.0,0.0,0.0,1.0
0.166,2.196,-31.448999999999984,0.232,0.114,2.083,0.0,1.0,0.0,0.0,0.0,1.0
0.134,0.706,26.849,0.498,0.868,3.035,1.0,0.0,0.0,0.0,1.0,0.0
0.416,1.256,-24.910999999999973,0.081,-0.147,-0.276,0.0,0.0,0.0,1.0,0.0,1.0
0.724,1.453,34.706,0.139,-0.292,1.938,0.0,1.0,0.0,0.0,0.0,1.0
0.326,4.593,14.396,-0.828,-0.433,2.12,1.0,0.0,0.0,0.0,1.0,0.0
0.327,3.336,0.179,0.819,0.628,0.281,0.0,0.0,1.0,0.0,0.0,1.0
0.536,0.487,44.568,0.3,1.725,2.039,0.0,1.0,0.0,0.0,0.0,1.0
0.009,2.458,41.519,0.247,-0.738,-6.092,0.0,1.0,0.0,0.0,1.0,0.0
0.826,0.563,43.775000000000034,-0.876,-0.767,1.79,0.0,1.0,0.0,0.0,0.0,1.0
0.027,2.568,58.891,0.803,0.559,-5.678,0.0,1.0,0.0,0.0,1.0,0.0
0.538,0.748,26.128,-0.104,-0.139,1.524,0.0,0.0,1.0,0.0,0.0,1.0
0.131,2.708,-100.0,0.235,-1.279,1.734,0.0,1.0,0.0,0.0,0.0,1.0
0.132,2.59,33.178,-0.634,-1.1,-6.126,0.0,1.0,0.0,0.0,1.0,0.0
0.235,0.363,60.492,0.471,0.381,0.293,0.0,0.0,0.0,1.0,0.0,1.0
0.713,3.819,14.789,0.007,-0.257,0.009,0.0,0.0,0.0,1.0,0.0,1.0
0.153,3.812,-51.36499999999998,-0.305,-0.602,2.214,0.0,1.0,0.0,0.0,0.0,1.0
0.724,0.36,-8.741,0.156,0.07,0.058,0.0,0.0,0.0,1.0,0.0,1.0
0.231,0.347,10.895,0.895,0.018,0.026,0.0,0.0,0.0,1.0,0.0,1.0
0.805,1.463,-7.996999999999957,-0.332,-0.077,-0.009,0.0,0.0,1.0,0.0,1.0,0.0
0.567,1.821,-43.06099999999998,0.017,-0.19,3.428,1.0,0.0,0.0,0.0,1.0,0.0
0.811,4.575,6.999,-0.015,0.081,0.462,0.0,0.0,1.0,0.0,0.0,1.0
0.975,0.534,6.953,-0.939,0.146,0.117,0.0,0.0,0.0,1.0,0.0,1.0
0.27,1.858,-24.970999999999975,0.133,-0.61,-0.512,0.0,0.0,1.0,0.0,0.0,1.0
0.8,3.753,-6.1819999999999595,-0.476,0.022,0.225,0.0,0.0,0.0,1.0,0.0,1.0
0.273,2.708,2.2,0.492,-0.331,0.225,0.0,0.0,1.0,0.0,0.0,1.0
0.767,1.113,65.15900000000005,0.97,0.487,0.133,0.0,0.0,1.0,0.0,1.0,0.0
0.86,4.781,22.514,0.71,-0.206,1.489,0.0,0.0,1.0,0.0,0.0,1.0
0.436,1.045,63.702,0.745,-1.102,3.659,0.0,0.0,0.0,1.0,1.0,0.0
0.662,0.173,-0.663,-0.713,1.304,0.121,0.0,0.0,1.0,0.0,1.0,0.0
0.176,0.882,-8.623,-0.737,-1.178,0.137,1.0,0.0,0.0,0.0,0.0,1.0
0.4,4.358,28.539000000000044,0.341,0.182,-5.552,0.0,1.0,0.0,0.0,1.0,0.0
0.944,0.955,5.333,-0.804,-0.502,-0.197,0.0,0.0,0.0,1.0,0.0,1.0
0.784,1.249,-46.875,-0.456,0.228,2.013,0.0,1.0,0.0,0.0,0.0,1.0
0.512,1.988,12.311,0.357,-1.318,2.063,0.0,1.0,0.0,0.0,0.0,1.0
0.897,1.971,58.839,-0.181,-0.433,3.804,1.0,0.0,0.0,0.0,1.0,0.0
0.705,1.899,5.109,-0.773,0.255,1.461,1.0,0.0,0.0,0.0,1.0,0.0
0.695,2.19,-4.563,-0.647,-0.728,1.962,0.0,1.0,0.0,0.0,0.0,1.0
0.084,0.851,74.156,0.265,0.618,-5.926,0.0,1.0,0.0,0.0,1.0,0.0
0.948,2.095,23.7,0.538,-0.847,0.626,0.0,0.0,1.0,0.0,1.0,0.0
0.052,3.053,-54.905,0.144,1.019,0.203,0.0,0.0,0.0,1.0,0.0,1.0
0.372,0.952,-50.257,-0.548,0.051,3.464,1.0,0.0,0.0,0.0,1.0,0.0
0.154,0.865,-11.726999999999975,-0.772,-1.304,-0.307,0.0,0.0,0.0,1.0,0.0,1.0
0.841,1.571,-2.0009999999999764,-0.405,-0.131,-0.225,0.0,0.0,1.0,0.0,0.0,1.0
0.141,1.45,32.502,0.762,-0.985,0.124,0.0,0.0,1.0,0.0,1.0,0.0
0.417,0.653,-47.24399999999997,-0.74,-1.234,-0.834,1.0,0.0,0.0,0.0,0.0,1.0
0.163,0.615,-10.044999999999959,-0.933,-0.44,0.056,0.0,0.0,1.0,0.0,0.0,1.0
0.324,1.299,46.437,0.919,-0.814,1.453,0.0,0.0,1.0,0.0,0.0,1.0
0.463,3.796,72.702,0.897,-0.223,2.156,0.0,1.0,0.0,0.0,0.0,1.0
0.8,1.731,63.488,0.723,-1.572,3.528,1.0,0.0,0.0,0.0,1.0,0.0
0.323,0.291,-17.162,-0.12,0.524,0.081,1.0,0.0,0.0,0.0,0.0,1.0
0.253,2.354,-35.489,0.191,-0.167,-0.701,0.0,0.0,1.0,0.0,0.0,1.0
0.114,1.242,33.478,0.512,-0.649,0.776,1.0,0.0,0.0,0.0,0.0,1.0
0.041,2.124,32.491,0.788,0.463,1.923,0.0,1.0,0.0,0.0,0.0,1.0
0.801,0.732,53.036,0.783,-0.941,0.259,0.0,0.0,1.0,0.0,1.0,0.0
0.929,3.964,-84.80699999999999,0.517,1.045,-3.466,1.0,0.0,0.0,0.0,0.0,1.0
0.456,2.644,-5.670999999999992,-0.761,-0.27,-5.333,0.0,1.0,0.0,0.0,1.0,0.0
